seed,ROI_i,ROI_j,mean_abs_shap
45,ROI_54,ROI_54,0.44223392
45,ROI_9,ROI_1,0.43564028
45,ROI_1,ROI_19,0.41960678
45,ROI_41,ROI_25,0.41366896
45,ROI_14,ROI_23,0.40534577
45,ROI_2,ROI_32,0.015499133
45,ROI_3,ROI_14,0.01461251
45,ROI_12,ROI_53,0.012099631
45,ROI_42,ROI_23,0.0109971715
45,ROI_8,ROI_18,0.010780469
45,ROI_23,ROI_32,0.010576244
45,ROI_2,ROI_61,0.010542946
45,ROI_22,ROI_30,0.010032126
45,ROI_10,ROI_58,0.008530144
45,ROI_36,ROI_3,0.0076007904
45,ROI_5,ROI_1,0.007023994
45,ROI_61,ROI_33,0.006932734
45,ROI_19,ROI_1,0.006484658
45,ROI_47,ROI_21,0.006258016
45,ROI_9,ROI_41,0.006060148
45,ROI_1,ROI_17,0.0059121423
45,ROI_13,ROI_2,0.00572262
45,ROI_16,ROI_16,0.005217455
45,ROI_2,ROI_17,0.005170413
45,ROI_3,ROI_32,0.005164694
45,ROI_3,ROI_3,0.0051041744
45,ROI_6,ROI_20,0.0049816594
45,ROI_12,ROI_1,0.0048442874
45,ROI_34,ROI_54,0.0046053184
45,ROI_3,ROI_52,0.004431351
45,ROI_2,ROI_21,0.0044154567
45,ROI_59,ROI_58,0.0043025184
45,ROI_8,ROI_8,0.0042724437
45,ROI_8,ROI_21,0.00424503
45,ROI_33,ROI_47,0.0041368864
45,ROI_1,ROI_54,0.004056062
45,ROI_5,ROI_55,0.0039286083
45,ROI_24,ROI_29,0.003890098
45,ROI_21,ROI_23,0.0038660178
45,ROI_16,ROI_13,0.0038023472
45,ROI_33,ROI_28,0.0037555103
45,ROI_6,ROI_4,0.0036630346
45,ROI_6,ROI_45,0.0036519466
45,ROI_27,ROI_51,0.0035965499
45,ROI_11,ROI_29,0.0035624187
45,ROI_45,ROI_41,0.0035598443
45,ROI_20,ROI_44,0.0035508329
45,ROI_10,ROI_15,0.0035469066
45,ROI_37,ROI_10,0.0035464
45,ROI_59,ROI_52,0.0033889727
45,ROI_6,ROI_61,0.003386167
45,ROI_20,ROI_59,0.0032649105
45,ROI_47,ROI_33,0.0032505183
45,ROI_38,ROI_9,0.003231304
45,ROI_30,ROI_55,0.0031960532
45,ROI_49,ROI_43,0.0031683936
45,ROI_37,ROI_20,0.003115448
45,ROI_7,ROI_2,0.0030666713
45,ROI_21,ROI_5,0.0030473548
45,ROI_37,ROI_44,0.0030434702
45,ROI_28,ROI_14,0.0029833326
45,ROI_3,ROI_16,0.0029298896
45,ROI_13,ROI_47,0.0028884786
45,ROI_43,ROI_44,0.0028505232
45,ROI_50,ROI_9,0.0028278383
45,ROI_26,ROI_39,0.0028174727
45,ROI_13,ROI_43,0.00281498
45,ROI_22,ROI_48,0.0028066407
45,ROI_15,ROI_1,0.0027662117
45,ROI_52,ROI_7,0.0027658197
45,ROI_13,ROI_16,0.0027390828
45,ROI_26,ROI_34,0.0027255996
45,ROI_15,ROI_55,0.0027207648
45,ROI_11,ROI_43,0.002688922
45,ROI_5,ROI_20,0.002641319
45,ROI_29,ROI_16,0.0026381894
45,ROI_10,ROI_30,0.002630184
45,ROI_37,ROI_61,0.0026033095
45,ROI_8,ROI_35,0.0025911143
45,ROI_2,ROI_40,0.0025599613
45,ROI_46,ROI_19,0.0025356987
45,ROI_34,ROI_41,0.0025327483
45,ROI_27,ROI_23,0.0025218457
45,ROI_8,ROI_51,0.002518291
45,ROI_61,ROI_37,0.002514564
45,ROI_10,ROI_54,0.002505312
45,ROI_40,ROI_30,0.0024769437
45,ROI_30,ROI_40,0.0024636376
45,ROI_11,ROI_25,0.0024137986
45,ROI_12,ROI_43,0.0024024856
45,ROI_7,ROI_55,0.0023808244
45,ROI_10,ROI_23,0.002374282
45,ROI_50,ROI_42,0.0023621847
45,ROI_1,ROI_15,0.0023548468
45,ROI_15,ROI_15,0.002353446
45,ROI_15,ROI_30,0.0023403834
45,ROI_51,ROI_19,0.0023348648
45,ROI_54,ROI_14,0.0023082995
45,ROI_9,ROI_26,0.0023023745
45,ROI_20,ROI_40,0.0022634629
45,ROI_4,ROI_26,0.0022511205
45,ROI_1,ROI_62,0.0022334408
45,ROI_26,ROI_48,0.0022276633
45,ROI_6,ROI_54,0.002226992
45,ROI_53,ROI_2,0.0022257536
45,ROI_12,ROI_20,0.0022203932
45,ROI_31,ROI_50,0.002219567
45,ROI_16,ROI_50,0.0022164746
45,ROI_50,ROI_17,0.002214919
45,ROI_19,ROI_58,0.0021568874
45,ROI_11,ROI_57,0.002153355
45,ROI_1,ROI_59,0.00214889
45,ROI_46,ROI_17,0.0021440715
45,ROI_1,ROI_40,0.002135027
45,ROI_46,ROI_49,0.0021341525
45,ROI_62,ROI_60,0.0021075057
45,ROI_6,ROI_29,0.002079368
45,ROI_52,ROI_21,0.002073192
45,ROI_5,ROI_40,0.0020559216
45,ROI_19,ROI_28,0.002023409
45,ROI_40,ROI_5,0.0020051203
45,ROI_62,ROI_41,0.0020026674
45,ROI_20,ROI_24,0.0019694057
45,ROI_52,ROI_42,0.0019669118
45,ROI_5,ROI_44,0.0019482916
45,ROI_22,ROI_36,0.0019447396
45,ROI_3,ROI_31,0.0019305644
45,ROI_38,ROI_53,0.0019278417
45,ROI_20,ROI_3,0.0019266899
45,ROI_18,ROI_26,0.0019049704
45,ROI_32,ROI_20,0.0019025956
45,ROI_34,ROI_10,0.0018986315
45,ROI_50,ROI_21,0.0018748293
45,ROI_7,ROI_56,0.0018622294
45,ROI_32,ROI_37,0.0018281245
45,ROI_30,ROI_36,0.0018205452
45,ROI_39,ROI_55,0.0018076394
45,ROI_10,ROI_28,0.0018030363
45,ROI_48,ROI_57,0.0017900919
45,ROI_3,ROI_11,0.0017827828
45,ROI_11,ROI_9,0.0017777173
45,ROI_16,ROI_18,0.0016914587
45,ROI_38,ROI_37,0.0016863499
45,ROI_50,ROI_62,0.0016715217
45,ROI_46,ROI_60,0.0016654703
45,ROI_5,ROI_23,0.0016583242
45,ROI_25,ROI_20,0.0016406088
45,ROI_13,ROI_53,0.0016327038
45,ROI_62,ROI_57,0.0015907445
45,ROI_9,ROI_58,0.0015862944
45,ROI_34,ROI_5,0.0015751665
45,ROI_39,ROI_37,0.0015658766
45,ROI_32,ROI_49,0.0015316939
45,ROI_41,ROI_7,0.0015275598
45,ROI_58,ROI_53,0.0015081828
45,ROI_19,ROI_50,0.0014779565
45,ROI_62,ROI_25,0.0014609359
45,ROI_59,ROI_56,0.0014534421
45,ROI_35,ROI_29,0.0014500376
45,ROI_15,ROI_14,0.0014456409
45,ROI_17,ROI_34,0.0013511021
45,ROI_40,ROI_24,0.0012936139
45,ROI_3,ROI_38,0.0011792365
45,ROI_48,ROI_58,0.0011591623
45,ROI_41,ROI_13,0.0
45,ROI_41,ROI_17,0.0
45,ROI_41,ROI_18,0.0
45,ROI_43,ROI_8,0.0
45,ROI_43,ROI_9,0.0
45,ROI_43,ROI_10,0.0
45,ROI_41,ROI_12,0.0
45,ROI_43,ROI_11,0.0
45,ROI_41,ROI_16,0.0
45,ROI_43,ROI_14,0.0
45,ROI_43,ROI_13,0.0
45,ROI_43,ROI_12,0.0
45,ROI_43,ROI_6,0.0
45,ROI_41,ROI_15,0.0
45,ROI_41,ROI_14,0.0
45,ROI_43,ROI_7,0.0
45,ROI_42,ROI_7,0.0
45,ROI_41,ROI_19,0.0
45,ROI_41,ROI_27,0.0
45,ROI_42,ROI_57,0.0
45,ROI_42,ROI_58,0.0
45,ROI_42,ROI_59,0.0
