seed,ROI_i,ROI_j,mean_abs_shap
7,ROI_47,ROI_20,0.0
7,ROI_47,ROI_21,0.0
7,ROI_47,ROI_22,0.0
7,ROI_47,ROI_23,0.0
7,ROI_47,ROI_24,0.0
7,ROI_47,ROI_25,0.0
7,ROI_47,ROI_26,0.0
7,ROI_47,ROI_27,0.0
7,ROI_32,ROI_54,0.0
7,ROI_47,ROI_6,0.0
7,ROI_47,ROI_5,0.0
7,ROI_47,ROI_4,0.0
7,ROI_47,ROI_3,0.0
7,ROI_46,ROI_43,0.0
7,ROI_46,ROI_44,0.0
7,ROI_46,ROI_45,0.0
7,ROI_46,ROI_46,0.0
7,ROI_46,ROI_47,0.0
7,ROI_46,ROI_48,0.0
7,ROI_46,ROI_49,0.0
7,ROI_46,ROI_50,0.0
7,ROI_46,ROI_51,0.0
7,ROI_46,ROI_52,0.0
7,ROI_46,ROI_53,0.0
7,ROI_46,ROI_54,0.0
7,ROI_32,ROI_58,0.0
7,ROI_46,ROI_55,0.0
7,ROI_46,ROI_56,0.0
7,ROI_46,ROI_57,0.0
7,ROI_46,ROI_58,0.0
7,ROI_46,ROI_59,0.0
7,ROI_46,ROI_60,0.0
7,ROI_46,ROI_61,0.0
7,ROI_46,ROI_62,0.0
7,ROI_47,ROI_1,0.0
7,ROI_47,ROI_2,0.0
7,ROI_45,ROI_50,0.0
7,ROI_45,ROI_49,0.0
7,ROI_44,ROI_9,0.0
7,ROI_44,ROI_45,0.0
7,ROI_44,ROI_36,0.0
7,ROI_44,ROI_37,0.0
7,ROI_44,ROI_38,0.0
7,ROI_44,ROI_39,0.0
7,ROI_44,ROI_40,0.0
7,ROI_33,ROI_9,0.0
7,ROI_44,ROI_41,0.0
7,ROI_33,ROI_8,0.0
7,ROI_44,ROI_42,0.0
7,ROI_44,ROI_43,0.0
7,ROI_44,ROI_44,0.0
7,ROI_44,ROI_46,0.0
7,ROI_44,ROI_34,0.0
7,ROI_44,ROI_47,0.0
7,ROI_44,ROI_48,0.0
7,ROI_44,ROI_49,0.0
7,ROI_44,ROI_50,0.0
7,ROI_44,ROI_51,0.0
7,ROI_44,ROI_52,0.0
7,ROI_44,ROI_53,0.0
7,ROI_33,ROI_7,0.0
7,ROI_44,ROI_54,0.0
7,ROI_33,ROI_6,0.0
7,ROI_44,ROI_55,0.0
7,ROI_44,ROI_35,0.0
7,ROI_44,ROI_33,0.0
7,ROI_45,ROI_48,0.0
7,ROI_44,ROI_20,0.0
7,ROI_33,ROI_13,0.0
7,ROI_44,ROI_10,0.0
7,ROI_44,ROI_11,0.0
7,ROI_44,ROI_12,0.0
7,ROI_40,ROI_62,0.0
7,ROI_44,ROI_14,0.0
7,ROI_44,ROI_15,0.0
