seed,ROI_i,ROI_j,mean_abs_shap,median_shap,std_shap,iqr_shap
29,ROI_49,ROI_43,0.008383161,0.008383161,0.0,0.0
29,ROI_20,ROI_37,0.00837634,0.00837634,0.0,0.0
29,ROI_40,ROI_39,0.008319764,0.008319764,0.0,0.0
29,ROI_21,ROI_5,0.008171589,0.008171589,0.0,0.0
29,ROI_18,ROI_8,0.008107506,0.008107506,0.0,0.0
29,ROI_55,ROI_40,0.008025735,0.008025735,0.0,0.0
29,ROI_9,ROI_24,0.007975188,0.007975188,0.0,0.0
29,ROI_60,ROI_47,0.007935474,0.007935474,0.0,0.0
29,ROI_61,ROI_42,0.007805905,0.007805905,0.0,0.0
29,ROI_59,ROI_30,0.0077843796,0.0077843796,0.0,0.0
29,ROI_10,ROI_56,0.007767743,0.007767743,0.0,0.0
29,ROI_8,ROI_8,0.007755984,0.007755984,0.0,0.0
29,ROI_12,ROI_25,0.0077439905,0.0077439905,0.0,0.0
29,ROI_39,ROI_7,0.007721891,0.007721891,0.0,0.0
29,ROI_58,ROI_62,0.0077190646,0.0077190646,0.0,0.0
29,ROI_39,ROI_31,0.00758044,0.00758044,0.0,0.0
29,ROI_45,ROI_26,0.0075254412,0.0075254412,0.0,0.0
29,ROI_45,ROI_59,0.007496501,0.007496501,0.0,0.0
29,ROI_40,ROI_14,0.007489752,0.007489752,0.0,0.0
29,ROI_27,ROI_33,0.007298279,0.007298279,0.0,0.0
29,ROI_11,ROI_22,0.0072854236,0.0072854236,0.0,0.0
29,ROI_45,ROI_25,0.007284277,0.007284277,0.0,0.0
29,ROI_40,ROI_32,0.007187618,0.007187618,0.0,0.0
29,ROI_59,ROI_42,0.0071826465,0.0071826465,0.0,0.0
29,ROI_30,ROI_48,0.0071620974,0.0071620974,0.0,0.0
29,ROI_32,ROI_58,0.0071368436,0.0071368436,0.0,0.0
29,ROI_55,ROI_28,0.0071017244,0.0071017244,0.0,0.0
29,ROI_12,ROI_39,0.00705656,0.00705656,0.0,0.0
29,ROI_26,ROI_58,0.0070399884,0.0070399884,0.0,0.0
29,ROI_24,ROI_8,0.007028226,0.007028226,0.0,0.0
29,ROI_42,ROI_2,0.0069996775,0.0069996775,0.0,0.0
29,ROI_32,ROI_23,0.006954688,0.006954688,0.0,0.0
29,ROI_29,ROI_12,0.006870102,0.006870102,0.0,0.0
29,ROI_56,ROI_60,0.006822442,0.006822442,0.0,0.0
29,ROI_20,ROI_3,0.0068051703,0.0068051703,0.0,0.0
29,ROI_62,ROI_1,0.0067280796,0.0067280796,0.0,0.0
29,ROI_4,ROI_47,0.006682951,0.006682951,0.0,0.0
29,ROI_61,ROI_29,0.0066770692,0.0066770692,0.0,0.0
29,ROI_54,ROI_54,0.0066147754,0.0066147754,0.0,0.0
29,ROI_22,ROI_56,0.006605599,0.006605599,0.0,0.0
29,ROI_12,ROI_19,0.00655511,0.00655511,0.0,0.0
29,ROI_53,ROI_30,0.0065148463,0.0065148463,0.0,0.0
29,ROI_26,ROI_60,0.006504525,0.006504525,0.0,0.0
29,ROI_52,ROI_49,0.0064315796,0.0064315796,0.0,0.0
29,ROI_33,ROI_35,0.0063199513,0.0063199513,0.0,0.0
29,ROI_7,ROI_18,0.00631318,0.00631318,0.0,0.0
29,ROI_30,ROI_14,0.006177419,0.006177419,0.0,0.0
29,ROI_36,ROI_10,0.0061594276,0.0061594276,0.0,0.0
29,ROI_15,ROI_57,0.006151987,0.006151987,0.0,0.0
29,ROI_26,ROI_37,0.006084118,0.006084118,0.0,0.0
29,ROI_2,ROI_7,0.0060351533,0.0060351533,0.0,0.0
29,ROI_32,ROI_32,0.006010097,0.006010097,0.0,0.0
29,ROI_39,ROI_8,0.0059984187,0.0059984187,0.0,0.0
29,ROI_27,ROI_43,0.005954021,0.005954021,0.0,0.0
29,ROI_37,ROI_22,0.00581395,0.00581395,0.0,0.0
29,ROI_24,ROI_32,0.0058100536,0.0058100536,0.0,0.0
29,ROI_45,ROI_52,0.0056945104,0.0056945104,0.0,0.0
29,ROI_49,ROI_23,0.0056223036,0.0056223036,0.0,0.0
29,ROI_37,ROI_26,0.0056166532,0.0056166532,0.0,0.0
29,ROI_17,ROI_44,0.0055933157,0.0055933157,0.0,0.0
29,ROI_2,ROI_50,0.005592045,0.005592045,0.0,0.0
